2020-06-07 12:20:28.6843||DEBUG|WebApi.Program|init main 
2020-06-07 12:20:30.1671||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\rcharkhawala\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2020-06-07 12:20:30.9768|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:44390/api/values   
2020-06-07 12:20:30.9768|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 DEBUG http://localhost:52652/  0 
2020-06-07 12:20:31.0217|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 44.9749ms 200  
2020-06-07 12:20:31.1174|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 141.1211ms 404  
2020-06-07 12:21:34.4172|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:44390/packingslips/allowscanning/71 application/json 15559 
2020-06-07 12:21:34.4867|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi)' 
2020-06-07 12:21:34.5231|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "VerifyShipment", controller = "PackingSlips"}. Executing action WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi) 
2020-06-07 12:21:34.7194|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi) with arguments (DAL.Models.PackingSlip) - Validation state: Valid 
2020-06-07 12:21:36.1493|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 1426.8916ms. 
2020-06-07 12:21:36.1652|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.Boolean'. 
2020-06-07 12:21:36.1813|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi) in 1655.3261ms 
2020-06-07 12:21:36.1813|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi)' 
2020-06-07 12:21:36.1892|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 1772.0626ms 200 application/json; charset=utf-8 
2020-06-07 12:22:05.0704|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:44390/packingslips/allowscanning/71 application/json 15559 
2020-06-07 12:22:05.0704|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi)' 
2020-06-07 12:22:05.0763|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "VerifyShipment", controller = "PackingSlips"}. Executing action WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi) 
2020-06-07 12:22:05.0763|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi) with arguments (DAL.Models.PackingSlip) - Validation state: Valid 
2020-06-07 12:22:32.5008|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 27418.2083ms. 
2020-06-07 12:22:32.5008|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.Boolean'. 
2020-06-07 12:22:32.5008|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi) in 27423.6154ms 
2020-06-07 12:22:32.5008|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'WebApi.Controllers.PackingSlipsController.VerifyShipment (WebApi)' 
2020-06-07 12:22:32.5008|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 27438.9638ms 200 application/json; charset=utf-8 
2020-06-07 12:22:42.6176|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 PUT http://localhost:44390/packingslips/allowscanning/71 application/json 15559 
2020-06-07 12:22:42.6342|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'WebApi.Controllers.PackingSlipsController.ScanBox (WebApi)' 
2020-06-07 12:22:42.6411|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "ScanBox", controller = "PackingSlips"}. Executing action WebApi.Controllers.PackingSlipsController.ScanBox (WebApi) 
2020-06-07 12:22:42.6411|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method WebApi.Controllers.PackingSlipsController.ScanBox (WebApi) with arguments (allowscanning, 71) - Validation state: Valid 
2020-06-07 12:23:12.9079|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method WebApi.Controllers.PackingSlipsController.ScanBox (WebApi), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 30263.3461ms. 
2020-06-07 12:23:12.9079|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.Boolean'. 
2020-06-07 12:23:12.9382|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action WebApi.Controllers.PackingSlipsController.ScanBox (WebApi) in 30296.0369ms 
2020-06-07 12:23:12.9382|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'WebApi.Controllers.PackingSlipsController.ScanBox (WebApi)' 
2020-06-07 12:23:12.9382|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 30322.7777ms 200 application/json; charset=utf-8 
2020-06-07 12:23:12.9382|32|INFO|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HM0AVQPB0J86", Request id "0HM0AVQPB0J86:00000003": the application completed without reading the entire request body. 
